Event Name,Magnitude
Red.Hat.JBoss.AS.doFilter.Insecure.Deserialization,9
ElFinder Command Injection Vulnerability,9
Western Digital MyCloud Multiple Remote Command Injection Vulnerability,9
VMware Workspace One Access Catalog Remote Code Execution,9
Oracle WebLogic Server CVE-2022-21371 Local File Inclusion,9
Ivanti Endpoint Protection Platform (EPM) Cloud Security Alliance (CSA) HTTP Cookie Remote Code Injection,9
Roxy - WI options API Remote Code Injection,9
VMware Aria Operations CVE-2023-20887 Command Injection,9
GeoServer OGC Eval Remote Code Execution,9
Totolink.Router.Cstecgi.Command.Injection - This indicates an attack attempt to exploit a Command Injection Vulnerability in Totolink routers,9
VMware.vCenter.CVE-2021-21985.Remote.Code.Execution - This indicates an attack attempt to exploit a Remote Code Execution in VMware vCenter,9
Configuration is changed,9
Disk scan is needed alert,9
Adobe Flash Player Memory Corruption Vulnerability,9
DNS ANY Request,8
UBA : D/DoS Attack Detected,8
DNS ANY Queries Brute Force DOS Attack,8
DNS flood IPv4 DNS-OTHER,8
Warning Message,8
User Login,8
User Logout,8
HTTP Request Pipeline Evasion Found,8
Potential Botnet Activity,8
SIP Register Request Attempt,8
SSH2 Login Attempt,8
DNS Long qname Detection,8
HTTP.URI.SQL.Injection - This indicates an attempt to exploit a SQL-injection vulnerability through HTTP requests,8
Apache.Log4j.Error.Log.Thread.Context.DoS - This indicates an attack attempt to exploit a Denial of Service Vulnerability in Apache Log4j,8
Microsoft Communicator INVITE Flood Denial of Service Vulnerability,8
HTTP Unauthorized Error,8
Cisco Malformed SNMP Message Format String Vulnerability,8
UBA : Detect Insecure Or Non-Standard Protocol,8
HTTP WWW-Authentication Failed,8
UBA : Account or Group or Privileges Added,8
Generic Path Traversal Detection,8
Web.Server.Password.Files.Access - This indicates an attempt to access a sensitive file through HTTP requests,8
UBA : Unauthorized Access,8
SIP Bye Request Attempt,8
SIP Malformed Request: Unacceptable Accept Offering,8
UBA : Dormant Account Used,8
Suspicious or malformed HTTP Referer field,8
Local Authentication Successful,8
Session Destroyed,8
Session Created,8
PowerDNS Authoritative Server Long qname Denial of Service Vulnerability,8
Excessive Firewall Denies Across Multiple Hosts From A Local Host,8
Microsoft Windows SMB Negotiate Request,8
Oracle.Forms.And.Reports.Remote.Code.Execution - This indicates an attack attempt to exploit a remote Code Execution Vulnerability in Oracle Forms and Reports,8
UBA : Dormant Account Use Attempted,8
GrandNode Ecommerce Lets Encrypt Controller Path Traversal,8
Metabase GeoJSON Path Traversal,8
Apache.Struts.OGNL.BeanMap.Remote.Code.Execution - This indicates an attack attempt to exploit a Remote Code Execution Vulnerability in Apache Software Foundation Struts,8
Login Failed Audit Log,8
Cisco.ASA.Web.Interface.Directory.Traversal,8
PHP.CGI.Argument.Injection - This indicates an attack attempt against an Argument Injection vulnerability in PHP CGI,8
Oracle.WebLogic.Server.wls-wsat.Component.Code.Injection,8
HTTP.Post.Directory.Traversal.File.Upload,8
MSNET Framework CVE-2024-29059 Information Disclosure,8
SolarWinds Serv-U Internal Directory (Dir) Path Traversal,8
Request Page Encounter Error,8
Ignite.Realtime.Openfire.CVE-2023-32315.Authentication.Bypass,8
Spring.Cloud.Function.Routing.Expression.Remote.Code.Execution,8
Potential Local port scan detected,8
Rejetto.HttpFileServer.Remote.Command.Injection,8
ConnectWise ScreenConnect SetupModule Authentication Bypass,8
Nexus Repository Manager Expression Language Injection,8
Grafana Labs Grafana Plugin Path Traversal,8
Oracle BI XML Publisher CVE-2019-2616 XML external entities (XXE),8
Apache OFBiz Get JSONuiLabel Server-Side Request Forgery (SSRF),8
XStream.Library.CVE-2020-26217.Insecure.Deserialization - This indicates an attack attempt to exploit an Insecure Deserialization Vulnerability in XStream,8
Apache.HTTP.Server.cgi-bin.Path.Traversal - This indicates an attack attempt to exploit a Path Traversal Vulnerability in Apache HTTP Server,8
Admin Session Created,8
Admin Login,8
Ruckus.IoT.Controller.Web.UI.Authentication.Bypass - This indicates an attack attempt to exploit an Authentication Bypass Vulnerability in Ruckus IoT Controller,8
Apache.Unomi.CVE-2020-13942.Command.Injection - This indicates an attack attempt to exploit a Command Injection Vulnerability in Apache Software Foundation Unomi,8
XStream.URLDataSource.SSRF - This indicates an attack attempt to exploit a Server-Side Request Forgery Vulnerability in XStream,8
HTTP.Unix.Shell.IFS.Remote.Code.Execution,8
Node.js.normalize.Handling.Security.Bypass,8
CPanel Error Page Webcall ID Reflected Cross Site Scripting (XSS),8
Mitel MiCollab NPM Path Traversal,8
Guangzhou Yingke Ncast IPSetup Command Injection,8
Firewall Deny,7
Health Metric,7
Blocked Action,7
Client RST Action,7
Server RST Action,7
Traffic timeout,7
Information Message,7
API request successful,7
Spyware Detected,7
TCP Scan,7
URL Blocked,7
Suspicious DNS Query,7
SSL,7
Local Suspicious Probe Events Detected,7
SSL_TLSv1.3 - This indicates an attempt to use the TLS 1.3 protocol,7
Spyware Packet Drop,7
Certificate validation passed,7
Network Anomaly Update (continuing activity),7
User Login,7
Network flood IPv4 UDP,7
Offense Closed,7
SSL_TLSv1.2 - This indicates an attempt to use the TLS 1.2 protocol,7
Firewall or ACL Accept Following Recon Activity,7
XMRig Miner Command and Control Traffic Detection,7
Network Anomaly Detected,7
Network Anomaly Observed,7
API request failure,7
Suspicious JavaScript Evasion Detected,7
Unknown Authentication Event,7
JavaScript Obfuscation Detected,7
JavaScript Obfuscation Detected,7
Unrecognized Spyware Threat Event,7
Search Results Saved,7
Apache Log4j Remote Code Execution Vulnerability,7
Task Added,7
Nmap Aggressive Option Print Detection,7
UBA : User Access at Unusual Times,7
Host Port Scan Detected by Remote Host,7
Audit Started,7
New Host Discovered,7
New Open Port Found,7
Network Anomaly Update (score change),7
Number Nodes for MAC Exceeded,7
AndroxGh0st Scanning Traffic Detection,7
Suspicious HTTP Evasion Found,7
SSL Double Client Hello Cipher Suite Length Mismatch,7
DNS flood IPv4 DNS-Text,7
Login Authentication Anomaly,7
Search Results Deleted,7
TP-Link Archer Router Command Injection Vulnerability,7
Amazon.AWS_S3 - This indicates an attempt to access Amazon S3 service,7
Local IRC Server Detected,7
Network Anomaly Update (MITRE mapping),7
Compromised or manufacturer default password found in HTTP Basic Authentication,7
Max events reached,7
Confluence Server OGNL Injection Remote Code Execution Vulnerability,7
Invalid Session Authentication Failed,7
Coremail.Mail.System.mailsms.Config.Information.Disclosure - This indicates an attack attempt to exploit an Information Disclosure Vulnerability in Coremail Mail System,7
D-Link DSL Soap Authorization Remote Command Execution Vulnerability,7
Netgear DGN Device Remote Command Execution Vulnerability,7
HTTP.Referer.Header.SQL.Injection,7
Realtek Jungle SDK Remote Code Execution Vulnerability,7
ThinkPHP Remote Code Execution Vulnerability,7
Suspicious Telerik Web UI Request,7
XAttacker Tool Prestashop Addons Arbitrary File Upload Vulnerability,7
Long Duration Flow Detected,7
XAttacker Tool Prestashop Addons Arbitrary File Upload Vulnerability,7
Reference Data Expiry,7
MVPower DVR Shell Unauthenticated Command Execution Vulnerability,7
OSSProxy PUP Traffic Detection,7
Zimbra Collaboration Error Code Cross Site Scripting (XSS),7
Hiddad Command and Control Traffic Detection,7
Zoneland O2OA Remote Code Execution Vulnerability,7
Drupal.Symfony.HTTP.request.header.Security.Bypass,7
Cisco ASA and FTD Arbitrary File Read Vulnerability,7
XStream Library Insecure Deserialization Vulnerability,7
Apache.Axis2.Default.Password.Access,7
Apache.Roller.OGNL.Injection.Remote.Code.Execution,7
HTTP SQL Injection Attempt,7
Alibaba.Nacos.API.User.Authentication.Bypass - This indicates an attack attempt against an Authentication Bypass vulnerability in Nacos,7
Zhiyuan OA Remote Code Execution Vulnerability,7
Artica Proxy cyrus.php Command Injection Vulnerability,7
Spring Core Remote Code Execution Vulnerability,7
Malformed DNS Response Detection,7
Apache Airflow Command Injection Vulnerability,7
Apache Kylin Command Injection Vulnerability,7
Laravel Ignition Remote Code Execution Vulnerability,7
HTTP Cross Site Scripting Attempt,7
Compromised or manufacturer default password found in HTTP Basic Authentication,7
Cisco Smart Install Protocol Vulnerability,7
Oracle WebLogic Server Web Service Config Arbitrary File Upload Vulnerability,7
Generic HTTP Cross Site Scripting Attempt,7
Shiro Deserialization Remote Code Execution Vulnerability,7
Apache Web Server Access Control Bypass Vulnerability,7
D-Link Router Remote Command Execution Vulnerability,7
Apache CouchDB Config Command Execution Vulnerability,7
Citrix Application Delivery Controllers (ADC) Gateway Software-Defined Wide Area Network (SD-WAN) Wide Area Network Optimization (WAN-OP) Report Authentication Bypass,7
