Event Name,Magnitude
UBA : New internal asset used,5
IP Address Disclosure Detection,5
GTPv1 Echo Request Message,5
install IPsec SA,5
Invalid IPv4 Header or Total Length,5
DNS-Protection event,5
ENV File Scanning Attempt,5
delete IPsec phase 2 SA,5
Port Observed,5
TCP handshake violation,5
WordPress Login Attempt Detection,5
Misc Performance statistics,5
Tunnel Up,5
Tunnel Down,5
Metasploit VxWorks WDB Agent Scanner Detection,5
UBA : Increased activity to internal destination port,5
User Added to Auth Logon,5
Auth Logout,5
UBA : Unusual network zone access,5
User Logout,5
Threat feed loaded,5
SFTP Config JSON File Download Attempt,5
SIPVicious Scanner Detection,5
ZGrab Application Layer Scanner Detection,5
Interface Created,5
Asset Created,5
UBA : Abnormal usage of internal asset,5
Non-RFC Compliant SMTP Traffic on Port 25,5
UBA : Abnormal increase in User activity,5
Asset Deleted,5
Coremail Information Disclosure Vulnerability,5
HTTP Non RFC-Compliant Response Found,5
Unsupported L4 Protocol,5
Oracle 9i Application Server Dynamic Monitoring Services Anonymous Access,5
Microhard Systems 4G Cellular Ethernet and Serial Gateway Information Disclosure Vulnerability,5
HTTP Directory Traversal Request Attempt,5
Dynamic address updated,5
UBA : Abnormal increase in Authentication activity,5
Dormant Account Found,5
New Account Use Detected,5
Dormant Account Used,5
UBA : Abnormal increase in Access activity,5
Incorrect IPv4 checksum,5
Virus Definition Update,5
FortiGate update succeeded,5
Compromised or commonly used username found in HTTP Basic Authentication,5
Run Command,5
UBA : Deviation from normal Risk posture,5
OpenSSL TLS Heartbeat Found,5
UBA : Increase in successful access and authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Disk log directory deleted,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Port Deleted,5
Automation Stitch Triggered,5
Security Rating summary-notice,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
UBA : First time access to internal destination port,5
Local Windows Scanner Detected,5
Node Policy Update Success,5
UBA : First time access to network zone,5
Nmap Scripting Engine Detection,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Manufacturer default username and password found in HTTP Basic Authentication,5
Virtual WAN Link Status Information,5
Atlassian Confluence Directory Traversal Vulnerability,5
HTTP Default Password Detection,5
Alibaba Nacos Authentication Bypass Vulnerability,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Logout Success,5
PHP CGI Query String Parameter Handling Information Disclosure Vulnerability,5
Non-RFC Compliant RTSP Traffic,5
UTM Permit - VOIP log,5
NTP server status changes to unreachable,5
Atlassian Jira Server and Data Center Groupuserpicker Information Disclosure Vulnerability,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Anomaly Detection Engine Message,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Avtech Devices Unauthenticated Information Disclosure Vulnerability,5
IP Address Deleted,5
Interface Deleted,5
Threat Feed updated - Information,5
Nmap Service Detection,5
Acunetix Web Vulnerability Scanner Detection,5
Qianxin SSLVPN Improper Access Control Vulnerability,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
DNS Zone Transfer AXFR Attempt,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Non-RFC Compliant IMAP Traffic on Port 143,5
FortiGuard webfilter reachable,5
System Add Event,5
Authentication timed out,5
Endpoint added,5
Wildfire Virus Reset Both,5
reset-both,1
Apache Shiro Improper Authentication Vulnerability,4
Phase2 Down,4
SSL Weak Cipher Suite Selection Vulnerability,4
Use of insecure SSLv3.0 Found in Server Response,4
Phase2 Up,4
UNIX NFS Export Directory Attempt,4
Tongda OA Online Arbitrary User Login Vulnerability,4
GTPv2-C Echo Request Message,4
IPsec DPD,4
SCADA ICCP COTP Connection Request from Unauthorized Client,4
NetBIOS nbtstat query,4
Microsoft Exchange Server Remote Code Execution Vulnerability,4
Telerik UI DialogHandler Request,4
OpenSSL Empty SNI Extension Found,4
SCADA Modbus Device Identification Read Attempt,4
SCADA Modbus Read Request to a PLC Attempt,4
Buffalo WSR-2533DHPL2 Path Traversal Vulnerability,4
DataTaker DT80 Information Disclosure Vulnerability,4
VMware vCenter Server Arbitrary File Read Vulnerability,4
Ruckus Remote Authentication Bypass Vulnerability,4
Amcrest IPM-721S Information Disclosure Vulnerability,4
SCADA DNP3 Miscellaneous Request to a PLC Attempt,4
Socomec DIRIS A-40 Information Disclosure Vulnerability,4
PAN-OS Authentication Bypass Vulnerability,4
Adobe ColdFusion IPFilterUtils Improper Access Control Vulnerability,4
DedeCMS Information Disclosure Vulnerability,4
WordPress Email Plugin Information Disclosure Vulnerability,4
JBoss Information Disclosure Vulnerability,4
Masscan Port Scanning Tool Detection,4
DLink DSL Information Disclosure Vulnerability,4
Remote Database Scanner Detected,4
Atlassian Jira Server and Data Center QueryComponent Information Disclosure Vulnerability,4
Dahua Improper Authentication Vulnerability,4
Eclipse Jetty Information Disclosure Vulnerability,4
F5 BIG-IP Authentication Bypass Vulnerability,4
Apache Tapestry ClasspathAssetRequestHandler Information Disclosure Vulnerability,4
Remote Proxy Server Scanner Detected,4
Joomla Improper Access Control Vulnerability,4
Advantech Studio NTWebServer Arbitrary File Access Vulnerability,4
Atlassian Confluence Server Information Disclosure Vulnerability,4
HTTP Request Directory Path Traversal Detection,4
Afterlogic Aurora Information Disclosure Vulnerability,4
Zhiyuan OA Information Disclosure Vulnerability,4
WordPress WPGraphQL Plugin Authentication Bypass and Information Disclosure Vulnerability,4
PHP DIESCAN Information Disclosure Vulnerability,4
HTTP Post Content Length Too Long,4
POODLE Bites Vulnerability,4
UBA : New Account Use Detected,3
Remote IRC Scanner Detected,7
